Job Title,Salary Estimation,Job Description,Rating,Company,Location,Size,Founded Date,Type of Ownership,Industry,Sector,Revenue,Website
Data Science co-op,,"Referred applicants should not apply directly to this role. All referred applicants must first be submitted through Workday by a current Loblaw Colleague. Location: 1 Presidents Choice Circle, Brampton, Ontario, L6Y 5S5 The decision to join a company is a big one. We have opportunities for hard working, energetic and reliable people just like you. Full time Temporary (Fixed Term) Intern",3.6,Loblaw Companies Limited,Brampton,10000+ Employees,-1,Company - Public,Vehicle Dealers,Retail,$10+ billion (USD),http://www.loblaw.com/
Staff Data Scientist,,"Staff Data Scientist  Must Have:  7+ years of experience with general purpose programming languages e.g., Python, C/C++, Java 7+ years of hands-on experience in machine learning and deep learning Nice to Have:  Exposure to machine learning platforms such as TensorFlow, TensorFlow Extended, PyTorch Good to have experience building and deploying machine learning models on the Cloud (Google Cloud, Azure, AWS) Our client is…  Responsibilities:",4.5,ISG Search Inc,Toronto,1 to 50 Employees,1990,Company - Private,IT Service,Information Technology,Unknown / Non-Applicable,http://www.isgsearch.ca/
Data Scientist,$113K - $125K (Employer Est.),"JOB DESCRIPTION TRADEX is looking for a Data Scientist to join our rapidly growing Trade X Brain team. This critical role will be responsible for building out the Data Science operations for the ML/AI Brain platform. The Trade X ‘Brain’ platform is the core data analytics system for the Trade X platform and overall offering. It is a machine-learning, AI-driven technology that connects buyers and sellers through a transparent marketplace that aids sellers in finding the world's highest bidders and gives buyers access to the best source markets and price arbitrage opportunities. As part of a rapidly growing product and technology team, you will have a unique opportunity to be a key contributor on the Trade X Brain platform. The Brain platform team is a dynamic cutting edge technology team building machine learning and data driven products at Trade X. WHO WE ARE LOOKING FOR (not exhaustive): A self-motivated expert in data science with a solid understanding of data science tools and an interest in financial trading systems.",,TradeX,Toronto,-1,-1,-1,-1,-1,-1,-1
"Data Science Intern - Summer 2022 (Remote, US&Canada)",$94K - $123K (Glassdoor Est.),"Company Description  Shopify is a leading global commerce company, providing trusted tools to start, grow, market, and manage a retail business of any size. Shopify makes commerce better for everyone with a platform and services that are engineered for reliability, while delivering a better shopping experience for consumers everywhere. Shopify powers millions of businesses in more than 175 countries and is trusted by brands such as Allbirds, Gymshark, PepsiCo, Staples, and many more. Shopify is now permanently remote, and we’re working towards a future that is digital by design. That location you see above? Consider it merely an example of hundreds of potential locations across Canada and the United States where Shopify is hiring. Learn more here: https://www.shopify.com/careers/work-anywhere  Job Description",4.3,Shopify,Toronto,5001 to 10000 Employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),http://www.shopify.com/
Data Scientist,$90K - $115K (Glassdoor Est.),"Company Description  Nielsen Precima is a global strategy and analytics company that provides tailored, data-driven solutions that drive sales, boost profitability, and build customer loyalty. Leveraging our deep analytics expertise, Precima helps organizations improve their competitive position across all facets of planning and operations from assortment optimization, price optimization, promotional optimization, targeted marketing, and supplier collaboration.  About the Opportunity The Data Scientist will access, analyze and interpret customer transactional data on behalf of Nielsen IQ clients to drive insights using statistical techniques in support of business objectives such as category management, marketing strategy development and execution, and ad hoc strategic and tactical client issues. The person in this role will be responsible for Analytics production support and deployment. This includes executing, developing, deploying and measuring NIQ's analytical products that are configured for clients.",3.9,NielsenIQ,Toronto,10000+ Employees,1923,Company - Private,-1,-1,Unknown / Non-Applicable,http://www.nielseniq.com/
Data Science - 4 Month Co-op/Internship (Summer 2022),$79K - $100K (Glassdoor Est.),"It’s more than a great career. It’s a bright future. If you’re a student who wants to fast-track your career AND get valuable and in-depth industry experience while you do it, this is an opportunity for you! We aim to be the best insurance AI shop in the world and we’re cultivating the next generation of tech and talent to help us do it. As an Intern or Co-op student joining our innovation lab, you’ll be surrounded by a diverse team of experts who are transforming the insurance experience for millions of Canadians. Think machine learning, data science, AI, agility, UX, rapid prototyping, and design thinking – it’s all in a day’s work at Intact Lab. Each year, we welcome more than 300 interns from coast to coast. A term with our lab means you’ll get the experience, coaching, training, development, support, and flexibility you need to be your best self and do your best work. You’ll meet amazing people along the way, help solve real business problems, and make a difference, together.",4.4,Intact,Toronto,10000+ Employees,-1,Company - Public,Insurance Operator,Insurance,$5 to $10 billion (USD),http://careers.intact.ca/
Data Scientist,,"What is the opportunity? In this role as a Data Scientist, you will analyze, design, and implement data science/machine learning solutions using RBC’s enterprise suite of analytics tools. The group specializes in taking full advantage of large data sets to explore and discover new insights that would have not been possible with traditional analytics. Leveraging leading-edge technologies and capabilities, the group applies machine learning and statistical modeling techniques to help RBC understand the changing business environment, discover new growth opportunities and determine where business improvements can be made.  What will you do? Analyze data using statistical, machine learning, and analytics techniques to solve complex problems, discover insights, and identify business opportunities.",,RBC,,10000+ Employees,1869,Company - Public,Banks & Building Society,Finance,$10+ billion (USD),http://www.rbc.com/
Summer Internship in AI,$60K (Employer Est.),"Drive the innovation and development of teaching and learning technologies that are grounded in research and powered by next-generation AI. The AI teams are dedicated to working closely with end-users to uncover real-world needs and co-designing and prototyping solutions to meet those needs. Staff is made up of research and learning scientists, software developers, research engineers, user experience researchers and designers, instructional designers and producers, and product owners. Interns accepted into the AI summer internship program will participate in user needs, discovery and exploration, solution ideation and validation, capability and prototype development, iterative user validation and data-driven solution optimization. We work in agile development teams to apply the best of foundational learning and cognitive science to the design, development and testing of solutions to meet educator and learner needs. Upon the completion of the program you’ll have the opportunity to present your findings. Applicants who have interest and expertise in the following would be a great fit for this program:",,ETS Educational Testing Service Canada,Toronto,-1,-1,-1,-1,-1,-1,-1
Data Scientist,,"Introduction At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.  Your Role and Responsibilities As a Data Scientist working at IBM Consulting, you will be the Subject Matter Expert on Data and AI Statistical models and IBM’s leading-edge analytic solutions and how they apply to solve the client’s business problems. As part of the IBM Consulting team, you will advise on and implement models in Machine Learning, Optimization, Neural Networks, and Artificial Intelligence such as Natural Language, and other quantitative approaches using IBM Data Science capabilities utilizing open source.  To be successful in this role you:      Must have the ability to work in Canada without sponsorship.",4.0,IBM,Toronto,10000+ Employees,1911,Company - Public,IT Service,Information Technology,$10+ billion (USD),http://www.ibm.com/
"Developer, Data Science, Deep Learning",,"Req Id: 344724  At Bell, we do more than build world-class networks, develop innovative services and create original multiplatform media content – we advance how Canadians connect with each other and the world.  If you’re ready to bring game-changing ideas to life and join a community that values, professional growth and employee wellness, we want you on the Bell team.  Bell’s Field Services team is proud to be the face of the Bell brand, performing the best installation and repair services and maintaining Bell’s network for our residential and business customers.",3.9,Bell Canada,Toronto,10000+ Employees,1880,Company - Public,"Cable, Internet & Telephone Providers",Telecommunication,$10+ billion (USD),http://www.bell.ca/
